2023-10-04 13:55:54,042 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\study\ActiveMq\apache-activemq-5.18.2-bin\apache-activemq-5.18.2\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-10-04 13:55:54,047 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[D:\study\ActiveMq\apache-activemq-5.18.2-bin\apache-activemq-5.18.2\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-10-04 13:55:54,074 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2023-10-04 13:55:54,075 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-10-04 13:55:54,346 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2023-10-04 13:55:54,347 | INFO  | PListStore:[D:\study\ActiveMq\apache-activemq-5.18.2-bin\apache-activemq-5.18.2\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-10-04 13:55:54,347 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2023-10-04 13:55:54,347 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2023-10-04 13:55:54,490 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:LAP13280-62341-1696402554358-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-10-04 13:55:54,508 | INFO  | Listening for connections at: tcp://LAP13280:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-10-04 13:55:54,508 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-10-04 13:55:54,511 | INFO  | Listening for connections at: amqp://LAP13280:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-10-04 13:55:54,511 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-10-04 13:55:54,515 | INFO  | Listening for connections at: stomp://LAP13280:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-10-04 13:55:54,516 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-10-04 13:55:54,520 | INFO  | Listening for connections at: mqtt://LAP13280:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-10-04 13:55:54,521 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-10-04 13:55:54,527 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
